"participant","lexicality","block","environment","order","trial","spelling","button","response","accuracy","previous.accuracy","rt","previous.rt","microsec.error","unix.seconds","unix.microseconds","trial.day","trial.session","order.in.block","order.in.subblock","rt.raw","coltheart.N","OLD20","nletters","nsyl","morphology","flection","synclass","celex.frequency","celex.frequency.lemma","celex.inflectional.entropy","lemma.size","nlemmas","bnc.frequency","bnc.frequency.million","subtlex.frequency","subtlex.frequency.million","subtlex.cd","subtlex.cd.pct","summed.monogram","summed.bigram","summed.trigram","lett.odd","part3"
73,"N",11,"GC3",5233,2494,"brape",1,"N",1,1,1540,1650,11,1265386008,140375,1533,533,233,33,1540,7,1.55,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,599529,27462,2126,2,"1"
73,"N",11,"GC3",5312,2240,"doshing",2,"W",0,1,NA,805,11,1265386204,140375,1612,612,312,12,953,5,1.7,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,676042,55116,19983,4,"1"
73,"N",11,"GC3",5440,12312,"irtfacts",1,"N",1,1,648,1036,152,1265386515,156375,1740,740,440,40,648,0,2.95,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,759280,44267,4167,9,"1"
73,"N",11,"GC3",5439,17364,"persames",1,"N",1,0,1036,1140,159,1265386513,484375,1739,739,439,39,1036,0,2.85,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,826847,79724,14249,16,"1"
73,"N",12,"GC2",5912,20962,"whow",1,"N",1,1,1628,624,11,1265646221,640250,212,212,412,12,1628,6,1.55,4,NA,NA,NA,NA,0,0,NA,NA,NA,1,0.01,1,0.0196,1,1e-04,449330,8979,780,23,"1"
73,"N",12,"GC2",5994,9480,"whank",2,"W",0,0,NA,1118,157,1265646396,250250,294,294,494,94,2552,4,1.7,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,510227,15583,1562,23,"1"
73,"N",13,"GC2",6608,28188,"wimp",2,"W",0,1,NA,867,193,1265648061,906250,908,908,108,8,535,3,1.8,4,NA,NA,NA,NA,0,0,NA,NA,NA,82,0.82,143,2.8039,122,0.0145,476277,9931,1061,23,"1"
73,"N",15,"GC2",7462,22042,"moxpence",1,"N",1,1,840,1436,11,1265716070,281000,762,762,462,62,840,0,3.5,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,719513,32901,4335,13,"1"
73,"N",15,"GC2",7274,4476,"shinch",2,"W",0,1,NA,539,10,1265715548,719000,574,574,274,74,2444,0,2,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,616345,45032,3704,19,"1"
73,"N",18,"GC3",8803,4364,"clothmate",1,"N",1,1,1101,707,10,1265802491,46375,103,103,303,3,1101,0,3.8,9,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,776443,50147,6370,3,"1"
73,"N",18,"GC3",9005,19544,"rethan",1,"N",1,1,632,535,10,1265802932,343375,305,305,5,5,632,0,2.55,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,690008,38513,4922,18,"1"
73,"N",19,"GC3",9567,5658,"crills",1,"N",1,1,909,592,11,1265804378,249375,867,867,67,67,909,6,1.65,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,657610,53252,3653,3,"1"
73,"N",2,"GC2",1046,6366,"defraged",2,"W",0,1,NA,878,254,1265206794,171750,846,346,46,46,1472,1,2.35,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,748411,43308,10256,4,"1"
73,"N",2,"GC2",868,9184,"mogged",2,"W",0,0,NA,2219,10,1265206283,578750,668,168,368,68,696,6,1.7,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,599759,29837,8267,13,"1"
73,"N",2,"GC2",826,1858,"blales",1,"N",1,1,1297,1311,153,1265206190,671750,626,126,326,26,1297,4,1.75,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,667752,68287,10659,2,"1"
73,"N",20,"GC3",10003,628,"arayed",1,"N",1,1,863,910,161,1266320596,343750,303,303,3,3,863,3,1.75,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,661355,38654,7717,1,"1"
73,"N",21,"GC3",10475,9146,"brited",1,"N",1,0,693,1516,11,1266321817,843750,775,775,475,75,693,2,1.9,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,667534,47439,10792,2,"1"
73,"N",21,"GC3",10590,7252,"swoomers",1,"N",1,1,1032,686,165,1266322079,593750,890,890,90,90,1032,1,2.4,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,772409,66853,8161,19,"1"
73,"N",22,"GC3",10707,2276,"beapish",1,"N",1,1,1564,991,70,1266336721,218750,1007,7,207,7,1564,1,2.8,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,695627,26905,2787,2,"1"
73,"N",22,"GC3",10844,6736,"desky",1,"N",1,1,876,857,153,1266337052,359750,1144,144,344,44,876,3,1.8,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,565733,34012,2632,4,"1"
73,"N",22,"GC3",10954,2242,"bune",1,"N",1,1,547,480,232,1266337322,859750,1254,254,454,54,547,10,1.45,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,545794,24411,1597,2,"1"
73,"N",24,"GC2",11910,21782,"threeking",1,"N",1,1,990,893,11,1266487722,250000,210,210,410,10,990,0,2.65,9,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,817173,61898,20617,20,"1"
73,"N",25,"GC2",12683,2600,"briy",1,"N",1,1,542,443,164,1266489515,578000,983,983,183,83,542,3,1.8,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,505854,21096,1229,2,"1"
73,"N",25,"GC2",12418,1064,"bassed",1,"N",1,0,809,871,11,1266488891,297000,718,718,418,18,809,10,1.45,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,686937,39441,9776,2,"1"
73,"N",25,"GC2",12337,27436,"waice",1,"N",1,1,548,870,11,1266488673,594000,637,637,337,37,548,1,1.95,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,609181,23255,2309,23,"1"
73,"N",26,"GC2",13015,1272,"lidg",1,"N",1,1,496,979,155,1266508583,969000,1315,315,15,15,496,3,1.8,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,519593,18555,970,12,"1"
73,"N",26,"GC2",12995,14176,"lolts",1,"N",1,0,721,762,11,1266508483,750000,1295,295,495,95,721,11,1.4,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,614784,40619,3841,12,"1"
73,"N",26,"GC2",12899,19808,"replont",1,"N",1,1,891,589,10,1266508249,609000,1199,199,399,99,891,0,2.6,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,730344,44211,5343,18,"1"
73,"N",26,"GC2",12763,21952,"pito",2,"W",0,1,NA,1245,11,1266507947,125000,1063,63,263,63,977,3,1.7,4,NA,NA,NA,NA,0,0,NA,NA,NA,2,0.02,0,0,0,0,555790,20437,2008,16,"1"
73,"N",26,"GC2",12959,17374,"sankier",1,"N",1,1,1420,742,11,1266508417,766000,1259,259,459,59,1420,3,1.8,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,757459,46702,6520,19,"1"
73,"N",27,"GC2",13502,4850,"commise",1,"N",1,1,558,542,217,1266509693,875000,1802,802,2,2,558,0,2.25,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,701351,39429,6787,3,"1"
73,"N",27,"GC2",13260,23364,"thrats",1,"N",1,1,587,1189,11,1266509093,31000,1560,560,260,60,587,0,1.9,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,669050,54692,5602,20,"1"
73,"N",27,"GC2",13204,23226,"spigs",2,"W",0,1,NA,682,150,1266508988,516000,1504,504,204,4,1093,5,1.65,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,608575,44315,2031,19,"1"
73,"N",27,"GC2",13542,4914,"conceeled",2,"W",0,1,NA,873,10,1266509769,703000,1842,842,42,42,1196,1,2.5,9,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,863407,62601,14958,3,"1"
73,"N",27,"GC2",13312,7176,"plubly",1,"N",1,0,597,765,222,1266509235,531000,1612,612,312,12,597,0,2.55,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,518286,25298,4772,16,"1"
73,"N",28,"GC1",13917,3558,"canpens",1,"N",1,1,926,675,184,1266586881,515625,217,217,417,17,926,0,2,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,740395,63389,5728,3,"1"
